Entity,Code,Year,Annual CO₂ emissions
Germany,DEU,1895,238284580
Germany,DEU,1896,256260160
Germany,DEU,1897,273554240
Germany,DEU,1898,285377950
Germany,DEU,1899,303283940
Germany,DEU,1900,326759200
Germany,DEU,1901,325557400
Germany,DEU,1902,319189380
Germany,DEU,1903,343598940
Germany,DEU,1904,356122460
Germany,DEU,1905,382323740
Germany,DEU,1906,361937250
Germany,DEU,1907,442182530
Germany,DEU,1908,446641600
Germany,DEU,1909,445571700
Germany,DEU,1910,445366530
Germany,DEU,1911,458586240
Germany,DEU,1912,499121060
Germany,DEU,1913,535083260
Germany,DEU,1914,497926600
Germany,DEU,1915,462906100
Germany,DEU,1916,500696600
Germany,DEU,1917,524578560
Germany,DEU,1918,503422600
Germany,DEU,1919,387427700
Germany,DEU,1920,429208300
Germany,DEU,1921,473179970
Germany,DEU,1922,455460830
Germany,DEU,1923,331929100
Germany,DEU,1924,451793180
Germany,DEU,1925,458065950
Germany,DEU,1926,413236900
Germany,DEU,1927,481185800
Germany,DEU,1928,505010900
Germany,DEU,1929,539234750
Germany,DEU,1930,462091780
Germany,DEU,1931,385964900
Germany,DEU,1932,347485760
Germany,DEU,1933,364980800
Germany,DEU,1934,408619780
Germany,DEU,1935,452332830
Germany,DEU,1936,499634430
Germany,DEU,1937,563512600
Germany,DEU,1938,601272640
Germany,DEU,1939,648625500
Germany,DEU,1940,654325000
Germany,DEU,1941,660793200
Germany,DEU,1942,667899400
Germany,DEU,1943,679430140
Germany,DEU,1944,600273150
Germany,DEU,1945,116064530
Germany,DEU,1946,271682430
Germany,DEU,1947,317660030
Germany,DEU,1948,377816400
Germany,DEU,1949,432148030
Germany,DEU,1950,510681820
Germany,DEU,1951,576865540
Germany,DEU,1952,610980600
Germany,DEU,1953,623492030
Germany,DEU,1954,659731900
Germany,DEU,1955,723498430
Germany,DEU,1956,766190800
Germany,DEU,1957,777907650
Germany,DEU,1958,756379140
Germany,DEU,1959,755794560
Germany,DEU,1960,813950200
Germany,DEU,1961,834839600
Germany,DEU,1962,883168600
Germany,DEU,1963,945498000
Germany,DEU,1964,968917500
Germany,DEU,1965,960102200
Germany,DEU,1966,951422000
Germany,DEU,1967,936229440
Germany,DEU,1968,984790850
Germany,DEU,1969,1052000830
Germany,DEU,1970,1026022340
Germany,DEU,1971,1037236800
Germany,DEU,1972,1041480960
Germany,DEU,1973,1085738400
Germany,DEU,1974,1062726900
Germany,DEU,1975,1002447000
Germany,DEU,1976,1090840400
Germany,DEU,1977,1052608500
Germany,DEU,1978,1079132500
Germany,DEU,1979,1117888300
Germany,DEU,1980,1100066000
Germany,DEU,1981,1048523300
Germany,DEU,1982,1015733900
Germany,DEU,1983,1011604900
Germany,DEU,1984,1033244600
Germany,DEU,1985,1044117900
Germany,DEU,1986,1047471940
Germany,DEU,1987,1032442900
Germany,DEU,1988,1029024200
Germany,DEU,1989,1008792400
Germany,DEU,1990,1054795900
Germany,DEU,1991,1016929540
Germany,DEU,1992,969464400
Germany,DEU,1993,959385900
Germany,DEU,1994,943227650
Germany,DEU,1995,939933600
Germany,DEU,1996,959690100
Germany,DEU,1997,931508100
Germany,DEU,1998,923498700
Germany,DEU,1999,895442050
Germany,DEU,2000,898975740
Germany,DEU,2001,915254800
Germany,DEU,2002,898834300
Germany,DEU,2003,894501060
Germany,DEU,2004,876569860
Germany,DEU,2005,867880600
Germany,DEU,2006,886434300
Germany,DEU,2007,846116160
Germany,DEU,2008,856607400
Germany,DEU,2009,789950700
Germany,DEU,2010,826679940
Germany,DEU,2011,804513800
Germany,DEU,2012,814090240
Germany,DEU,2013,831742850
Germany,DEU,2014,792578750
Germany,DEU,2015,800844500
Germany,DEU,2016,798013630
Germany,DEU,2017,784593860
Germany,DEU,2018,760046340
Germany,DEU,2019,709826700
Germany,DEU,2020,648356860
Germany,DEU,2021,678777300
Germany,DEU,2022,671471550
Germany,DEU,2023,596151360
India,IND,1878,1766908
India,IND,1879,1684382
India,IND,1880,1886773
India,IND,1881,1839333
India,IND,1882,2196293
India,IND,1883,2440906
India,IND,1884,2730012
India,IND,1885,2459401
India,IND,1886,2772061
India,IND,1887,3066015
India,IND,1888,3409552
India,IND,1889,4021827.2
India,IND,1890,4431669
India,IND,1891,4772419
India,IND,1892,5247290
India,IND,1893,5543189
India,IND,1894,5616704
India,IND,1895,7034702
India,IND,1896,7608026
India,IND,1897,8253373
India,IND,1898,9125185
India,IND,1899,10054478
India,IND,1900,11929561
India,IND,1901,13179677
India,IND,1902,14515422
India,IND,1903,14802121
India,IND,1904,16561007
India,IND,1905,16930720
India,IND,1906,19549416
India,IND,1907,21772400
India,IND,1908,24908242
India,IND,1909,24142650
India,IND,1910,23487316
India,IND,1911,24782446
India,IND,1912,28521446
India,IND,1913,31466760
India,IND,1914,31698144
India,IND,1915,33141720
India,IND,1916,33517506
India,IND,1917,35019770
India,IND,1918,39359310
India,IND,1919,42974760
India,IND,1920,34867976
India,IND,1921,37505520
India,IND,1922,36903370
India,IND,1923,37971890
India,IND,1924,40627950
India,IND,1925,40084930
India,IND,1926,39942580
India,IND,1927,41883788
India,IND,1928,40072960
India,IND,1929,41707876
India,IND,1930,42399496
India,IND,1931,38851024
India,IND,1932,36129476
India,IND,1933,35467340
India,IND,1934,39611030
India,IND,1935,41393200
India,IND,1936,40684480
India,IND,1937,45067284
India,IND,1938,50379656
India,IND,1939,49312224
India,IND,1940,52309530
India,IND,1941,53581100
India,IND,1942,53529536
India,IND,1943,46644424
India,IND,1944,47695988
India,IND,1945,52874036
India,IND,1946,52225000
India,IND,1947,53180280
India,IND,1948,53204080
India,IND,1949,56187840
India,IND,1950,61102560
India,IND,1951,64022116
India,IND,1952,67426140
India,IND,1953,68704824
India,IND,1954,72413624
India,IND,1955,78787740
India,IND,1956,81656370
India,IND,1957,91635350
India,IND,1958,95815784
India,IND,1959,101447256
India,IND,1960,111325050
India,IND,1961,120404270
India,IND,1962,132581544
India,IND,1963,142444140
India,IND,1964,139488270
India,IND,1965,153701940
India,IND,1966,159373390
India,IND,1967,159555820
India,IND,1968,174069330
India,IND,1969,177413360
India,IND,1970,181722640
India,IND,1971,191963680
India,IND,1972,203035980
India,IND,1973,209095040
India,IND,1974,215853180
India,IND,1975,234209120
India,IND,1976,244749380
India,IND,1977,258961730
India,IND,1978,263149570
India,IND,1979,276284740
India,IND,1980,291711100
India,IND,1981,314966180
India,IND,1982,325380000
India,IND,1983,352198850
India,IND,1984,361559460
India,IND,1985,397592100
India,IND,1986,426309380
India,IND,1987,455343040
India,IND,1988,491692160
India,IND,1989,540651100
India,IND,1990,577996000
India,IND,1991,615365000
India,IND,1992,655447040
India,IND,1993,677299260
India,IND,1994,714063740
India,IND,1995,760461630
India,IND,1996,823620700
India,IND,1997,858011200
India,IND,1998,875772350
India,IND,1999,960762940
India,IND,2000,986444700
India,IND,2001,1000526700
India,IND,2002,1032139800
India,IND,2003,1067736960
India,IND,2004,1133827600
India,IND,2005,1194592400
India,IND,2006,1292484600
India,IND,2007,1392506000
India,IND,2008,1489437400
India,IND,2009,1612216300
India,IND,2010,1677337200
India,IND,2011,1764712400
India,IND,2012,1925699700
India,IND,2013,1995098100
India,IND,2014,2148343800
India,IND,2015,2234219500
India,IND,2016,2354658000
India,IND,2017,2426606800
India,IND,2018,2593057800
India,IND,2019,2612888000
India,IND,2020,2421552000
India,IND,2021,2674221800
India,IND,2022,2831166200
India,IND,2023,3062324500
Japan,JPN,1870,18320
Japan,JPN,1871,25648
Japan,JPN,1872,32976
Japan,JPN,1873,40304
Japan,JPN,1874,586240
Japan,JPN,1875,1439952
Japan,JPN,1876,1403312
Japan,JPN,1877,1289728
Japan,JPN,1878,1857648
Japan,JPN,1879,2315648
Japan,JPN,1880,2348624
Japan,JPN,1881,2414576
Japan,JPN,1882,2513504
Japan,JPN,1883,2711360
Japan,JPN,1884,2956848
Japan,JPN,1885,3348896
Japan,JPN,1886,3605376
Japan,JPN,1887,4473744
Japan,JPN,1888,5169904
Japan,JPN,1889,6254448
Japan,JPN,1890,6756416
Japan,JPN,1891,8123088
Japan,JPN,1892,8075455.5
Japan,JPN,1893,8573760
Japan,JPN,1894,11024976
Japan,JPN,1895,12226768
Japan,JPN,1896,12915600
Japan,JPN,1897,13542144
Japan,JPN,1898,17246448
Japan,JPN,1899,17272096
Japan,JPN,1900,19411872
Japan,JPN,1901,23273728
Japan,JPN,1902,24944512
Japan,JPN,1903,25787232
Japan,JPN,1904,29051856
Japan,JPN,1905,29931216
Japan,JPN,1906,32855088
Japan,JPN,1907,35071810
Japan,JPN,1908,37632944
Japan,JPN,1909,38255824
Japan,JPN,1910,39384336
Japan,JPN,1911,44209824
Japan,JPN,1912,49280800
Japan,JPN,1913,54315136
Japan,JPN,1914,58015776
Japan,JPN,1915,52842210
Japan,JPN,1916,58598350
Japan,JPN,1917,67483550
Japan,JPN,1918,71543260
Japan,JPN,1919,79193700
Japan,JPN,1920,74280270
Japan,JPN,1921,66809380
Japan,JPN,1922,71429680
Japan,JPN,1923,75907090
Japan,JPN,1924,79347580
Japan,JPN,1925,82011310
Japan,JPN,1926,82604880
Japan,JPN,1927,89482210
Japan,JPN,1928,92390570
Japan,JPN,1929,94880340
Japan,JPN,1930,86165784
Japan,JPN,1931,77904010
Japan,JPN,1932,77980500
Japan,JPN,1933,91342500
Japan,JPN,1934,101202820
Japan,JPN,1935,106382490
Japan,JPN,1936,116849070
Japan,JPN,1937,125430960
Japan,JPN,1938,131735120
Japan,JPN,1939,127746840
Japan,JPN,1940,153244270
Japan,JPN,1941,154604580
Japan,JPN,1942,147791840
Japan,JPN,1943,150637470
Japan,JPN,1944,138732700
Japan,JPN,1945,76635160
Japan,JPN,1946,52706560
Japan,JPN,1947,70032370
Japan,JPN,1948,88082370
Japan,JPN,1949,98420104
Japan,JPN,1950,102540984
Japan,JPN,1951,123457650
Japan,JPN,1952,130427960
Japan,JPN,1953,145901700
Japan,JPN,1954,142680660
Japan,JPN,1955,142036220
Japan,JPN,1956,160822620
Japan,JPN,1957,188286600
Japan,JPN,1958,181421020
Japan,JPN,1959,192920450
Japan,JPN,1960,232829570
Japan,JPN,1961,283131330
Japan,JPN,1962,293278300
Japan,JPN,1963,325264160
Japan,JPN,1964,359349100
Japan,JPN,1965,386969470
Japan,JPN,1966,419780060
Japan,JPN,1967,489912000
Japan,JPN,1968,562561100
Japan,JPN,1969,653845600
Japan,JPN,1970,769740300
Japan,JPN,1971,799643460
Japan,JPN,1972,861046460
Japan,JPN,1973,914262300
Japan,JPN,1974,914302500
Japan,JPN,1975,869796400
Japan,JPN,1976,909555460
Japan,JPN,1977,935529900
Japan,JPN,1978,905064260
Japan,JPN,1979,957130200
Japan,JPN,1980,948535000
Japan,JPN,1981,930368830
Japan,JPN,1982,900713300
Japan,JPN,1983,884419900
Japan,JPN,1984,940527600
Japan,JPN,1985,915263360
Japan,JPN,1986,914047940
Japan,JPN,1987,902178100
Japan,JPN,1988,984697500
Japan,JPN,1989,1021277950
Japan,JPN,1990,1157393200
Japan,JPN,1991,1169093000
Japan,JPN,1992,1178892000
Japan,JPN,1993,1171892500
Japan,JPN,1994,1226893200
Japan,JPN,1995,1239194900
Japan,JPN,1996,1251694700
Japan,JPN,1997,1244395300
Japan,JPN,1998,1204594200
Japan,JPN,1999,1241195400
Japan,JPN,2000,1263993200
Japan,JPN,2001,1249393400
Japan,JPN,2002,1278994700
Japan,JPN,2003,1287494900
Japan,JPN,2004,1282894700
Japan,JPN,2005,1290296200
Japan,JPN,2006,1267295400
Japan,JPN,2007,1302996200
Japan,JPN,2008,1232195700
Japan,JPN,2009,1163392600
Japan,JPN,2010,1214798100
Japan,JPN,2011,1264796700
Japan,JPN,2012,1305997700
Japan,JPN,2013,1315297800
Japan,JPN,2014,1263805700
Japan,JPN,2015,1223199400
Japan,JPN,2016,1203184000
Japan,JPN,2017,1187484500
Japan,JPN,2018,1142480900
Japan,JPN,2019,1105478000
Japan,JPN,2020,1040483400
Japan,JPN,2021,1061905300
Japan,JPN,2022,1032686800
Japan,JPN,2023,988784700
Russia,RUS,1870,2367647
Russia,RUS,1871,3196436
Russia,RUS,1872,3281554
Russia,RUS,1873,3079957
Russia,RUS,1874,3738508
Russia,RUS,1875,4302980
Russia,RUS,1876,5342326
Russia,RUS,1877,5452084
Russia,RUS,1878,7125341
Russia,RUS,1879,7311259
Russia,RUS,1880,8576841
Russia,RUS,1881,9033795
Russia,RUS,1882,9515388
Russia,RUS,1883,10830250
Russia,RUS,1884,10996007
Russia,RUS,1885,11977114
Russia,RUS,1886,12283990
Russia,RUS,1887,12998540
Russia,RUS,1888,13558532
Russia,RUS,1889,14642677
Russia,RUS,1890,16582491
Russia,RUS,1891,18257986
Russia,RUS,1892,19326452
Russia,RUS,1893,22652806
Russia,RUS,1894,23071680
Russia,RUS,1895,26510032
Russia,RUS,1896,26987144
Russia,RUS,1897,31202766
Russia,RUS,1898,34995030
Russia,RUS,1899,40597200
Russia,RUS,1900,45988804
Russia,RUS,1901,47214064
Russia,RUS,1902,45601290
Russia,RUS,1903,44606744
Russia,RUS,1904,49628748
Russia,RUS,1905,44299864
Russia,RUS,1906,50529220
Russia,RUS,1907,56597292
Russia,RUS,1908,56944490
Russia,RUS,1909,60111804
Russia,RUS,1910,58951504
Russia,RUS,1911,61119790
Russia,RUS,1912,69235200
Russia,RUS,1913,75211430
Russia,RUS,1914,67880024
Russia,RUS,1915,62304732
Russia,RUS,1916,66406120
Russia,RUS,1917,61115310
Russia,RUS,1918,24373102
Russia,RUS,1919,20818272
Russia,RUS,1920,18983738
Russia,RUS,1921,20587554
Russia,RUS,1922,25107812
Russia,RUS,1923,27735294
Russia,RUS,1924,33044022
Russia,RUS,1925,32613948
Russia,RUS,1926,47254384
Russia,RUS,1927,58749904
Russia,RUS,1928,65266430
Russia,RUS,1929,70286720
Russia,RUS,1930,95549810
Russia,RUS,1931,114790376
Russia,RUS,1932,129335210
Russia,RUS,1933,144545310
Russia,RUS,1934,174845090
Russia,RUS,1935,197914610
Russia,RUS,1936,226946640
Russia,RUS,1937,232062600
Russia,RUS,1938,244930880
Russia,RUS,1939,247934820
Russia,RUS,1940,297240860
Russia,RUS,1941,261133860
Russia,RUS,1942,141966990
Russia,RUS,1943,148164980
Russia,RUS,1944,214866770
Russia,RUS,1945,227479570
Russia,RUS,1946,255646430
Russia,RUS,1947,307839000
Russia,RUS,1948,327570460
Russia,RUS,1949,372364770
Russia,RUS,1950,415060930
Russia,RUS,1951,449832320
Russia,RUS,1952,481700770
Russia,RUS,1953,509612540
Russia,RUS,1954,556574660
Russia,RUS,1955,631101400
Russia,RUS,1956,691941570
Russia,RUS,1957,757200500
Russia,RUS,1958,808224400
Russia,RUS,1959,849739000
Russia,RUS,1960,884701600
Russia,RUS,1961,912373000
Russia,RUS,1962,957589250
Russia,RUS,1963,1026973630
Russia,RUS,1964,1092213500
Russia,RUS,1965,1158638800
Russia,RUS,1966,1223580900
Russia,RUS,1967,1279439100
Russia,RUS,1968,1315395600
Russia,RUS,1969,1369898500
Russia,RUS,1970,1440773200
Russia,RUS,1971,1528954900
Russia,RUS,1972,1608655000
Russia,RUS,1973,1676593200
Russia,RUS,1974,1740436700
Russia,RUS,1975,1829451800
Russia,RUS,1976,1899910700
Russia,RUS,1977,1964533900
Russia,RUS,1978,2032001900
Russia,RUS,1979,2048855000
Russia,RUS,1980,2129468500
Russia,RUS,1981,2088922600
Russia,RUS,1982,2128305200
Russia,RUS,1983,2158492400
Russia,RUS,1984,2177659100
Russia,RUS,1985,2348535600
Russia,RUS,1986,2348928000
Russia,RUS,1987,2357920500
Russia,RUS,1988,2436935400
Russia,RUS,1989,2404825300
Russia,RUS,1990,2536247800
Russia,RUS,1991,2406755600
Russia,RUS,1992,1966504700
Russia,RUS,1993,1866729100
Russia,RUS,1994,1647664500
Russia,RUS,1995,1619727200
Russia,RUS,1996,1586822100
Russia,RUS,1997,1482244500
Russia,RUS,1998,1465253400
Russia,RUS,1999,1494178800
Russia,RUS,2000,1479142400
Russia,RUS,2001,1515647100
Russia,RUS,2002,1506788000
Russia,RUS,2003,1537018400
Russia,RUS,2004,1543957000
Russia,RUS,2005,1562576900
Russia,RUS,2006,1623002000
Russia,RUS,2007,1623781200
Russia,RUS,2008,1652064500
Russia,RUS,2009,1545034400
Russia,RUS,2010,1632783200
Russia,RUS,2011,1685909500
Russia,RUS,2012,1701268400
Russia,RUS,2013,1640437400
Russia,RUS,2014,1639959200
Russia,RUS,2015,1638675300
Russia,RUS,2016,1634885000
Russia,RUS,2017,1666121200
Russia,RUS,2018,1712494300
Russia,RUS,2019,1705030900
Russia,RUS,2020,1632929300
Russia,RUS,2021,1711993300
Russia,RUS,2022,1802190000
Russia,RUS,2023,1815924700
Saudi Arabia,SAU,1936,7328
Saudi Arabia,SAU,1937,25648
Saudi Arabia,SAU,1938,205184
Saudi Arabia,SAU,1939,1652464
Saudi Arabia,SAU,1940,2147104
Saudi Arabia,SAU,1941,1810016
Saudi Arabia,SAU,1942,1901616
Saudi Arabia,SAU,1943,1993216
Saudi Arabia,SAU,1944,3260960
Saudi Arabia,SAU,1945,8811920
Saudi Arabia,SAU,1946,25153360
Saudi Arabia,SAU,1947,37731870
Saudi Arabia,SAU,1948,17942608
Saudi Arabia,SAU,1949,18385952
Saudi Arabia,SAU,1950,5140592
Saudi Arabia,SAU,1951,0
Saudi Arabia,SAU,1952,0
Saudi Arabia,SAU,1953,476320
Saudi Arabia,SAU,1954,1238432
Saudi Arabia,SAU,1955,2114128
Saudi Arabia,SAU,1956,1630480
Saudi Arabia,SAU,1957,2099472
Saudi Arabia,SAU,1958,1996880
Saudi Arabia,SAU,1959,1853687
Saudi Arabia,SAU,1960,2674363
Saudi Arabia,SAU,1961,3568320
Saudi Arabia,SAU,1962,6250041
Saudi Arabia,SAU,1963,6938814
Saudi Arabia,SAU,1964,7041168
Saudi Arabia,SAU,1965,4216254
Saudi Arabia,SAU,1966,6407326
Saudi Arabia,SAU,1967,25485478
Saudi Arabia,SAU,1968,29079118
Saudi Arabia,SAU,1969,35270950
Saudi Arabia,SAU,1970,45251332
Saudi Arabia,SAU,1971,59756656
Saudi Arabia,SAU,1972,70281710
Saudi Arabia,SAU,1973,95053576
Saudi Arabia,SAU,1974,98701896
Saudi Arabia,SAU,1975,83260890
Saudi Arabia,SAU,1976,101459590
Saudi Arabia,SAU,1977,118070470
Saudi Arabia,SAU,1978,115024584
Saudi Arabia,SAU,1979,138004740
Saudi Arabia,SAU,1980,169240420
Saudi Arabia,SAU,1981,175304530
Saudi Arabia,SAU,1982,157893280
Saudi Arabia,SAU,1983,160836960
Saudi Arabia,SAU,1984,155512380
Saudi Arabia,SAU,1985,172421180
Saudi Arabia,SAU,1986,204603790
Saudi Arabia,SAU,1987,190446880
Saudi Arabia,SAU,1988,202251920
Saudi Arabia,SAU,1989,203423890
Saudi Arabia,SAU,1990,182024580
Saudi Arabia,SAU,1991,244587120
Saudi Arabia,SAU,1992,276086500
Saudi Arabia,SAU,1993,297832640
Saudi Arabia,SAU,1994,291288770
Saudi Arabia,SAU,1995,274692380
Saudi Arabia,SAU,1996,269593660
Saudi Arabia,SAU,1997,227241310
Saudi Arabia,SAU,1998,219013490
Saudi Arabia,SAU,1999,237821820
Saudi Arabia,SAU,2000,309760200
Saudi Arabia,SAU,2001,324516030
Saudi Arabia,SAU,2002,347096580
Saudi Arabia,SAU,2003,351405020
Saudi Arabia,SAU,2004,407882400
Saudi Arabia,SAU,2005,412411500
Saudi Arabia,SAU,2006,445167600
Saudi Arabia,SAU,2007,423531900
Saudi Arabia,SAU,2008,469712540
Saudi Arabia,SAU,2009,504279680
Saudi Arabia,SAU,2010,555962200
Saudi Arabia,SAU,2011,540578900
Saudi Arabia,SAU,2012,606102100
Saudi Arabia,SAU,2013,583611460
Saudi Arabia,SAU,2014,585567700
Saudi Arabia,SAU,2015,624999300
Saudi Arabia,SAU,2016,641661600
Saudi Arabia,SAU,2017,613685500
Saudi Arabia,SAU,2018,637487100
Saudi Arabia,SAU,2019,657587840
Saudi Arabia,SAU,2020,616085760
Saudi Arabia,SAU,2021,695841900
Saudi Arabia,SAU,2022,723331400
Saudi Arabia,SAU,2023,736205300
United States,USA,1870,98620220
United States,USA,1871,103020690
United States,USA,1872,126305410
United States,USA,1873,139506800
United States,USA,1874,134296590
United States,USA,1875,135747540
United States,USA,1876,132820010
United States,USA,1877,147175550
United States,USA,1878,143903600
United States,USA,1879,175468960
United States,USA,1880,198684240
United States,USA,1881,210192900
United States,USA,1882,235393950
United States,USA,1883,253882580
United States,USA,1884,267589570
United States,USA,1885,272162270
United States,USA,1886,287463170
United States,USA,1887,307380830
United States,USA,1888,373875100
United States,USA,1889,335542400
United States,USA,1890,401747300
United States,USA,1891,427424580
United States,USA,1892,450449200
United States,USA,1893,454094850
United States,USA,1894,425050370
United States,USA,1895,479948100
United States,USA,1896,480882460
United States,USA,1897,500287140
United States,USA,1898,545321500
United States,USA,1899,625534000
United States,USA,1900,662738400
United States,USA,1901,721527550
United States,USA,1902,764495740
United States,USA,1903,894406900
United States,USA,1904,882057540
United States,USA,1905,986482400
United States,USA,1906,1035471170
United States,USA,1907,1203861500
United States,USA,1908,1052812860
United States,USA,1909,1165706200
United States,USA,1910,1271582100
United States,USA,1911,1258666600
United States,USA,1912,1343565600
United States,USA,1913,1442542100
United States,USA,1914,1317980300
United States,USA,1915,1367697000
United States,USA,1916,1518980700
United States,USA,1917,1670970600
United States,USA,1918,1747718100
United States,USA,1919,1479158800
United States,USA,1920,1738245800
United States,USA,1921,1423668600
United States,USA,1922,1435758300
United States,USA,1923,1896735900
United States,USA,1924,1698320300
United States,USA,1925,1758185500
United States,USA,1926,1906048500
United States,USA,1927,1862839200
United States,USA,1928,1830965000
United States,USA,1929,1963506200
United States,USA,1930,1744916200
United States,USA,1931,1484959100
United States,USA,1932,1257814100
United States,USA,1933,1348876800
United States,USA,1934,1436238600
United States,USA,1935,1492320900
United States,USA,1936,1713411700
United States,USA,1937,1792609900
United States,USA,1938,1515749900
United States,USA,1939,1670920400
United States,USA,1940,1874985100
United States,USA,1941,2043585000
United States,USA,1942,2198264800
United States,USA,1943,2272059100
United States,USA,1944,2444903700
United States,USA,1945,2359551500
United States,USA,1946,2257493800
United States,USA,1947,2485854500
United States,USA,1948,2582558700
United States,USA,1949,2164862200
United States,USA,1950,2541485300
United States,USA,1951,2618711600
United States,USA,1952,2551219500
United States,USA,1953,2612971300
United States,USA,1954,2489462300
United States,USA,1955,2728512000
United States,USA,1956,2859995000
United States,USA,1957,2835772200
United States,USA,1958,2747107600
United States,USA,1959,2831923200
United States,USA,1960,2897315000
United States,USA,1961,2886872800
United States,USA,1962,2993902000
United States,USA,1963,3126487600
United States,USA,1964,3264313600
United States,USA,1965,3399547000
United States,USA,1966,3571421400
United States,USA,1967,3705461000
United States,USA,1968,3840919600
United States,USA,1969,4035145200
United States,USA,1970,4339686000
United States,USA,1971,4365465000
United States,USA,1972,4573015000
United States,USA,1973,4785434000
United States,USA,1974,4621419000
United States,USA,1975,4478563000
United States,USA,1976,4748111400
United States,USA,1977,4889953300
United States,USA,1978,4941708300
United States,USA,1979,5008955400
United States,USA,1980,4808877600
United States,USA,1981,4686743000
United States,USA,1982,4447602000
United States,USA,1983,4429711000
United States,USA,1984,4662488000
United States,USA,1985,4652938000
United States,USA,1986,4663711000
United States,USA,1987,4826012700
United States,USA,1988,5050858500
United States,USA,1989,5132543500
United States,USA,1990,5120957000
United States,USA,1991,5062956500
United States,USA,1992,5174227500
United States,USA,1993,5272850400
United States,USA,1994,5364279300
United States,USA,1995,5425259500
United States,USA,1996,5612983000
United States,USA,1997,5688142300
United States,USA,1998,5733281000
United States,USA,1999,5803918000
United States,USA,2000,6010135600
