Country,Year,Number below $3 a day
Bangladesh,1983,45530314
Bangladesh,1985,42006219
Bangladesh,1988,55361610
Bangladesh,1991,58822273
Bangladesh,1995,53687924
Bangladesh,2000,55665672
Bangladesh,2005,46766829
Bangladesh,2010,38230991
Bangladesh,2016,31376284
Bangladesh,2022,13574858
Barbados,2016,4690
Belarus,1998,3852229
Belarus,1999,3383560
Belarus,2000,2645121
Belarus,2001,1461878
Belarus,2002,1029729
Belarus,2003,850374
Belarus,2004,414793
Belarus,2005,235802
Belarus,2006,101919
Belarus,2007,101585
Belarus,2008,49348
Belarus,2009,51340
Belarus,2010,16325
Belarus,2011,5174
Belarus,2012,7671
Belarus,2013,2122
Belarus,2014,0
Belarus,2015,0
Belarus,2016,0
Belarus,2017,2603
Belarus,2018,2078
Belarus,2019,0
Belarus,2020,0
Belgium,1985,23678
Belgium,1988,72806
Belgium,1992,98772
Belgium,1995,73918
Belgium,1997,50141
Belgium,2000,31318
Belgium,2003,40807
Belgium,2004,5421
Belgium,2005,26470
Belgium,2006,20264
Belgium,2007,18115
Belgium,2008,12682
Belgium,2009,12746
Belgium,2010,15483
Belgium,2011,20321
Belgium,2012,19112
Belgium,2013,16126
Belgium,2014,8574
Belgium,2015,15467
Belgium,2016,6778
Belgium,2017,19902
Belgium,2018,10256
Belgium,2019,12276
Belgium,2020,9900
Belgium,2021,4237
Belgium,2022,2389
Belize,1995,37474
Belize,2018,3953
Benin,2003,5575330
Benin,2011,6973772
Benin,2015,7477702
Benin,2018,4667533
Benin,2021,3722252
Bhutan,2003,147246
Bhutan,2007,81638
Bhutan,2012,26158
Bhutan,2017,19720
Bhutan,2022,104
Bolivia,1997,1519630
Bolivia,1999,2079144
Bolivia,2000,2431630
Bolivia,2001,1953981
Bolivia,2002,2126121
Bolivia,2004,1219132
Bolivia,2005,1748618
Bolivia,2006,1514806
Bolivia,2007,1168979
Bolivia,2008,1040961
Bolivia,2009,1005291
Bolivia,2011,717664
Bolivia,2012,828300
Bolivia,2013,721912
Bolivia,2014,607339
Bolivia,2015,683996
Bolivia,2016,801889
Bolivia,2017,727447
Bolivia,2018,540417
Bolivia,2019,366317
Bolivia,2020,501829
Bolivia,2021,364648
Bolivia,2022,394575
Bolivia,2023,344978
Bolivia (urban),1990,235141
Bolivia (urban),1992,590162
Bosnia and Herzegovina,2001,26918
Bosnia and Herzegovina,2004,16377
Bosnia and Herzegovina,2007,6910
Bosnia and Herzegovina,2011,8798
Botswana,1985,573502
Botswana,1993,603728
Botswana,2002,613056
Botswana,2009,421688
Botswana,2015,476456
Brazil,1981,38080973
Brazil,1982,39303843
Brazil,1983,48970230
Brazil,1984,49008738
Brazil,1985,43933702
Brazil,1986,23074035
Brazil,1987,35988703
Brazil,1988,40474788
Brazil,1989,37579507
Brazil,1990,45246364
Brazil,1992,45363386
Brazil,1993,44215754
Brazil,1995,31561171
Brazil,1996,33908272
Brazil,1997,33965874
Brazil,1998,32367592
Brazil,1999,34362736
Brazil,2001,30935773
Brazil,2002,28906000
Brazil,2003,30938326
Brazil,2004,28004458
Brazil,2005,25237347
Brazil,2006,21220919
Brazil,2007,20345699
Brazil,2008,17363566
Brazil,2009,16220179
Brazil,2011,13901441
Brazil,2012,12588620
Brazil,2013,10675871
Brazil,2014,9475521
Brazil,2015,10797399
Brazil,2016,13165912
Brazil,2017,14204298
Brazil,2018,14190323
Brazil,2019,14564015
Brazil,2020,5780696
Brazil,2021,15642293
Brazil,2022,10208834
Brazil,2023,8056262
Bulgaria,1992,0
Bulgaria,2006,609665
Bulgaria,2007,188109
Bulgaria,2008,145079
Bulgaria,2009,131393
Bulgaria,2010,197151
Bulgaria,2011,253431
Bulgaria,2012,220075
Bulgaria,2013,237329
Bulgaria,2014,196550
Bulgaria,2015,328807
Bulgaria,2016,218623
Bulgaria,2017,141743
Bulgaria,2018,105001
Bulgaria,2019,113781
Bulgaria,2020,48915
Bulgaria,2021,84465
Bulgaria,2022,69952
Burkina Faso,1994,8930955
Burkina Faso,1998,9716869
Burkina Faso,2003,9109756
Burkina Faso,2009,10552980
Burkina Faso,2014,10707522
Burkina Faso,2018,9870037
Burkina Faso,2021,9396353
Burundi,1992,4978299
Burundi,1998,5487473
Burundi,2006,6410662
Burundi,2013,8052215
Burundi,2020,9400518
Cameroon,1996,7576559
Cameroon,2001,4717915
Cameroon,2007,6500741
Cameroon,2014,6403089
Cameroon,2021,7312527
Canada,1971,548372
Canada,1973,393279
Canada,1975,404669
Canada,1977,355697
Canada,1979,302448
Canada,1981,248178
Canada,1982,186646
Canada,1984,256046
Canada,1985,192695
Canada,1986,260530
Canada,1987,132149
Canada,1988,200770
Canada,1989,340782
Canada,1990,345712
Canada,1991,349812
Canada,1992,211902
Canada,1993,357880
Canada,1994,286985
Canada,1995,218832
Canada,1996,143894
Canada,1997,147822
Canada,1998,150672
Canada,1999,149259
Canada,2000,76046
Canada,2001,77360
Canada,2002,75985
Canada,2003,75027
Canada,2004,77790
Canada,2005,78991
Canada,2006,81150
Canada,2007,81647
Canada,2008,81610
Canada,2009,82162
Canada,2010,84617
Canada,2011,77657
Canada,2012,85576
Canada,2013,174172
Canada,2014,85806
Canada,2015,177065
Canada,2016,180486
Canada,2017,181769
Canada,2018,92671
Canada,2019,93534
Canada,2020,94634
Cape Verde,2001,172714
Cape Verde,2007,130239
Cape Verde,2015,74830
Central African Republic,1992,2628440
Central African Republic,2008,3066510
Central African Republic,2021,3661150
Chad,2003,6328403
Chad,2011,5764959
Chad,2018,6874018
Chad,2022,7285305
Chile,1987,2778998
Chile,1990,2154011
Chile,1992,1536917
Chile,1994,1501075
Chile,1996,1172169
Chile,1998,1118938
Chile,2000,1334058
Chile,2003,1272500
Chile,2006,550805
Chile,2009,450469
Chile,2011,287367
Chile,2013,138032
Chile,2015,121776
Chile,2017,89596
Chile,2020,333569
Chile,2022,101644
China,1981,964146075
China,1984,947320620
China,1987,882394635
China,1990,942566424
China,1993,904542399
China,1996,754908045
China,1999,731991989
China,2002,616455476
China,2005,431510862
China,2008,347620379
China,2010,275388500
China,2011,211127652
China,2012,179321213
China,2013,84870415
China,2014,65088151
China,2015,41115964
China,2016,30507008
China,2017,23249834
China,2018,11156298
China,2019,0
China,2020,0
China,2021,0
China (rural),1981,785598901
China (rural),1984,761907879
China (rural),1987,726555038
China (rural),1990,763007325
China (rural),1993,756149883
China (rural),1996,628689059
China (rural),1999,618528949
China (rural),2002,540294812
China (rural),2005,378280462
China (rural),2008,318189584
China (rural),2010,263430168
China (rural),2011,208566341
China (rural),2012,179321217
China (rural),2013,82181998
China (rural),2014,61507793
China (rural),2015,41115964
China (rural),2016,30507008
China (rural),2017,23249832
China (rural),2018,11156299
China (rural),2019,0
China (rural),2020,0
China (rural),2021,0
China (urban),1981,178547169
China (urban),1984,185412718
China (urban),1987,155839603
China (urban),1990,179559088
China (urban),1993,148392546
China (urban),1996,126218972
China (urban),1999,113463079
China (urban),2002,76160623
China (urban),2005,53230396
China (urban),2008,29430814
China (urban),2010,11958336
China (urban),2011,2561303
China (urban),2012,0
China (urban),2013,2688423
China (urban),2014,3580359
China (urban),2015,0
China (urban),2016,0
China (urban),2017,0
China (urban),2018,0
China (urban),2019,0
China (urban),2020,0
China (urban),2021,0
Colombia,1992,5411831
Colombia,1996,9039187
Colombia,1999,10839305
Colombia,2000,9349572
Colombia,2001,11736084
Colombia,2002,8562858
Colombia,2003,8090485
Colombia,2004,7979866
Colombia,2005,7077816
Colombia,2008,7248450
Colombia,2009,6649626
Colombia,2010,5870599
Colombia,2011,5086164
Colombia,2012,4976631
Colombia,2013,4587194
Colombia,2014,4186701
Colombia,2015,3794435
Colombia,2016,3785811
Colombia,2017,3516591
Colombia,2018,3617138
Colombia,2019,4386447
Colombia,2020,6827950
Colombia,2021,5747599
Colombia,2022,4794142
Colombia,2023,4021904
Colombia (urban),1980,4735479
Colombia (urban),1988,4562142
Colombia (urban),1989,4666316
Colombia (urban),1991,4469027
Comoros,2004,161936
Comoros,2014,223106
Congo,2005,2012794
Congo,2011,1842139
Costa Rica,1981,823440
Costa Rica,1986,542709
Costa Rica,1989,438267
Costa Rica,1990,433388
Costa Rica,1991,548888
Costa Rica,1992,453268
Costa Rica,1993,397313
Costa Rica,1994,324067
Costa Rica,1995,374666
Costa Rica,1996,425204
Costa Rica,1997,335723
Costa Rica,1998,282767
Costa Rica,1999,358677
Costa Rica,2000,384983
Costa Rica,2001,304815
Costa Rica,2002,267611
Costa Rica,2003,284468
Costa Rica,2004,276874
Costa Rica,2005,214871
Costa Rica,2006,222993
Costa Rica,2007,137583
Costa Rica,2008,149807
Costa Rica,2009,162390
Costa Rica,2010,100640
Costa Rica,2011,125565
Costa Rica,2012,119527
Costa Rica,2013,124605
Costa Rica,2014,113798
Costa Rica,2015,117567
Costa Rica,2016,116949
Costa Rica,2017,85926
Costa Rica,2018,115057
Costa Rica,2019,86484
Costa Rica,2020,168739
Costa Rica,2021,109277
Costa Rica,2022,81245
Costa Rica,2023,78602
Costa Rica,2024,65853
Cote d'Ivoire,1985,1410421
Cote d'Ivoire,1986,1091312
Cote d'Ivoire,1987,1764498
Cote d'Ivoire,1988,2722018
Cote d'Ivoire,1992,5351540
Cote d'Ivoire,1995,6082997
Cote d'Ivoire,1998,7346448
Cote d'Ivoire,2008,10305695
Cote d'Ivoire,2015,11996723
Cote d'Ivoire,2018,6329528
Cote d'Ivoire,2021,6313881
Croatia,1988,0
Croatia,2009,43369
Croatia,2010,61786
Croatia,2011,42498
Croatia,2012,45669
Croatia,2013,51086
Croatia,2014,48829
Croatia,2015,28909
Croatia,2016,35203
Croatia,2017,24917
Croatia,2018,20101
Croatia,2019,14381
Croatia,2020,17376
Croatia,2021,13220
Croatia,2022,15335
Cyprus,2004,957
Cyprus,2005,561
Cyprus,2006,192
Cyprus,2007,270
Cyprus,2008,92
Cyprus,2009,1242
Cyprus,2010,663
Cyprus,2011,368
Cyprus,2012,49
Cyprus,2013,1149
Cyprus,2014,1178
Cyprus,2015,552
Cyprus,2016,943
Cyprus,2017,643
Cyprus,2018,993
Cyprus,2019,2248
Cyprus,2020,288
Cyprus,2021,650
Cyprus,2022,67
Czechia,1992,0
Czechia,1993,0
Czechia,1996,0
Czechia,2002,0
Czechia,2004,1841
Czechia,2005,3465
Czechia,2006,7754
Czechia,2007,13181
Czechia,2008,8740
Czechia,2009,4832
Czechia,2010,3789
Czechia,2011,7526
Czechia,2012,8900
Czechia,2013,4804
Czechia,2014,1087
Czechia,2015,924
Czechia,2016,0
Czechia,2017,0
Czechia,2018,942
Czechia,2019,0
Czechia,2020,871
Czechia,2021,6288
Czechia,2022,0
Democratic Republic of Congo,2004,55586555
Democratic Republic of Congo,2012,58598438
Democratic Republic of Congo,2020,81896433
Denmark,1987,38353
Denmark,1992,25544
Denmark,1995,0
Denmark,2000,0
Denmark,2003,19884
Denmark,2004,17023
Denmark,2005,15074
Denmark,2006,10603
Denmark,2007,4651
Denmark,2008,16301
Denmark,2009,31253
Denmark,2010,3178
Denmark,2011,0
Denmark,2012,0
Denmark,2013,17458
Denmark,2014,13732
Denmark,2015,9970
Denmark,2016,15946
Denmark,2017,8218
Denmark,2018,13124
Denmark,2019,15653
Denmark,2020,9621
Denmark,2021,9001
Denmark,2022,14432
Djibouti,2002,257208
Djibouti,2012,254981
Djibouti,2013,307749
Djibouti,2017,267517
Dominican Republic,1986,572812
Dominican Republic,1989,1467751
Dominican Republic,1992,743109
Dominican Republic,1996,639320
Dominican Republic,1997,665650
Dominican Republic,2000,709297
Dominican Republic,2001,574142
Dominican Republic,2002,797062
Dominican Republic,2003,958694
Dominican Republic,2004,1332489
Dominican Republic,2005,909102
Dominican Republic,2006,758226
Dominican Republic,2007,740033
Dominican Republic,2008,683796
Dominican Republic,2009,613377
Dominican Republic,2010,544719
Dominican Republic,2011,530821
Dominican Republic,2012,546874
Dominican Republic,2013,451149
Dominican Republic,2014,425898
Dominican Republic,2015,340964
Dominican Republic,2016,312675
Dominican Republic,2017,162163
Dominican Republic,2018,118735
Dominican Republic,2019,109919
Dominican Republic,2020,143399
Dominican Republic,2021,141430
Dominican Republic,2022,107308
Dominican Republic,2023,144202
East Asia and Pacific (PIP),1990,1230842514
East Asia and Pacific (PIP),1991,1229206643
East Asia and Pacific (PIP),1992,1213835687
East Asia and Pacific (PIP),1993,1196431034
East Asia and Pacific (PIP),1994,1136500741
East Asia and Pacific (PIP),1995,1077213840
East Asia and Pacific (PIP),1996,1019659501
East Asia and Pacific (PIP),1997,1018592865
East Asia and Pacific (PIP),1998,1036748997
East Asia and Pacific (PIP),1999,998625597
East Asia and Pacific (PIP),2000,960102227
East Asia and Pacific (PIP),2001,915677492
East Asia and Pacific (PIP),2002,839097871
East Asia and Pacific (PIP),2003,770853281
East Asia and Pacific (PIP),2004,703703963
East Asia and Pacific (PIP),2005,621120084
East Asia and Pacific (PIP),2006,600933064
East Asia and Pacific (PIP),2007,546957192
East Asia and Pacific (PIP),2008,514355124
East Asia and Pacific (PIP),2009,472925411
East Asia and Pacific (PIP),2010,418153127
East Asia and Pacific (PIP),2011,345888032
East Asia and Pacific (PIP),2012,301132278
East Asia and Pacific (PIP),2013,203681440
East Asia and Pacific (PIP),2014,176910696
East Asia and Pacific (PIP),2015,138694981
East Asia and Pacific (PIP),2016,114759720
East Asia and Pacific (PIP),2017,94981790
East Asia and Pacific (PIP),2018,74218732
East Asia and Pacific (PIP),2019,56976116
East Asia and Pacific (PIP),2020,60692243
East Asia and Pacific (PIP),2021,58542879
East Asia and Pacific (PIP),2022,53962497
East Asia and Pacific (PIP),2023,48469045
East Asia and Pacific (PIP),2024,43386289
East Asia and Pacific (PIP),2025,40451169
East Timor,2001,453147
East Timor,2007,606200
East Timor,2014,521983
Eastern and Southern Africa (PIP),1990,188559696
Eastern and Southern Africa (PIP),1991,197683057
Eastern and Southern Africa (PIP),1992,207040266
Eastern and Southern Africa (PIP),1993,216593720
Eastern and Southern Africa (PIP),1994,222796681
Eastern and Southern Africa (PIP),1995,226456404
Eastern and Southern Africa (PIP),1996,229849237
Eastern and Southern Africa (PIP),1997,235480185
Eastern and Southern Africa (PIP),1998,242869201
Eastern and Southern Africa (PIP),1999,249600330
Eastern and Southern Africa (PIP),2000,255179938
Eastern and Southern Africa (PIP),2001,260387360
Eastern and Southern Africa (PIP),2002,271109610
Eastern and Southern Africa (PIP),2003,275289728
Eastern and Southern Africa (PIP),2004,267192881
Eastern and Southern Africa (PIP),2005,265925258
Eastern and Southern Africa (PIP),2006,264422393
Eastern and Southern Africa (PIP),2007,266187117
Eastern and Southern Africa (PIP),2008,268396889
Eastern and Southern Africa (PIP),2009,274122684
Eastern and Southern Africa (PIP),2010,275062774
Eastern and Southern Africa (PIP),2011,276688299
Eastern and Southern Africa (PIP),2012,280587909
Eastern and Southern Africa (PIP),2013,285312425
Eastern and Southern Africa (PIP),2014,291377744
Eastern and Southern Africa (PIP),2015,300266429
Eastern and Southern Africa (PIP),2016,312407606
Eastern and Southern Africa (PIP),2017,325888869
Eastern and Southern Africa (PIP),2018,338851417
Eastern and Southern Africa (PIP),2019,352331599
Eastern and Southern Africa (PIP),2020,373556434
Eastern and Southern Africa (PIP),2021,384949180
Eastern and Southern Africa (PIP),2022,390869633
Eastern and Southern Africa (PIP),2023,399531923
Eastern and Southern Africa (PIP),2024,411829016
Eastern and Southern Africa (PIP),2025,416220134
Ecuador,1994,2447887
Ecuador,1999,3358813
Ecuador,2000,4321027
Ecuador,2003,2523524
Ecuador,2004,2645352
Ecuador,2005,2129346
Ecuador,2006,1529704
Ecuador,2007,1567540
Ecuador,2008,1426351
Ecuador,2009,1383633
Ecuador,2010,1172134
Ecuador,2011,987634
Ecuador,2012,938921
Ecuador,2013,709778
Ecuador,2014,636583
Ecuador,2015,776028
Ecuador,2016,820316
Ecuador,2017,717223
Ecuador,2018,800108
Ecuador,2019,805950
Ecuador,2020,1480649
Ecuador,2021,932914
Ecuador,2022,792258
Ecuador,2023,841601
Ecuador (urban),1987,1112074
Ecuador (urban),1995,1210769
Ecuador (urban),1998,1535343
Egypt,1990,4229571
Egypt,1995,2720715
Egypt,1999,0
Egypt,2004,3309499
Egypt,2008,3216931
Egypt,2010,1391284
Egypt,2012,1174706
Egypt,2015,1203847
Egypt,2017,3274063
Egypt,2019,2150093
Egypt,2021,1541883
El Salvador,1989,1311974
El Salvador,1991,1589944
El Salvador,1995,1112910
El Salvador,1996,1233324
El Salvador,1998,1549490
El Salvador,1999,1326679
El Salvador,2000,1096195
El Salvador,2001,1158578
El Salvador,2002,1169526
El Salvador,2003,1256189
El Salvador,2004,979672
El Salvador,2005,986816
El Salvador,2006,757646
El Salvador,2007,552341
El Salvador,2008,761371
El Salvador,2009,747358
El Salvador,2010,689385
El Salvador,2011,614693
El Salvador,2012,522397
El Salvador,2013,438398
El Salvador,2014,428531
El Salvador,2015,327824
El Salvador,2016,358087
El Salvador,2017,282694
El Salvador,2018,252966
El Salvador,2019,185676
El Salvador,2021,320978
El Salvador,2022,327003
El Salvador,2023,292567
Equatorial Guinea,2022,160968
Estonia,1993,24280
Estonia,2003,48694
Estonia,2004,21714
Estonia,2005,14673
Estonia,2006,14632
Estonia,2007,7995
Estonia,2008,7401
Estonia,2009,10123
Estonia,2010,13948
Estonia,2011,15346
Estonia,2012,13854
Estonia,2013,14181
Estonia,2014,13039
Estonia,2015,8688
Estonia,2016,7700
Estonia,2017,6837
Estonia,2018,5513
Estonia,2019,9556
Estonia,2020,5505
Estonia,2021,4647
Estonia,2022,6721
Eswatini,1994,866734
Eswatini,2000,682600
Eswatini,2009,644324
Eswatini,2016,512544
Ethiopia,1995,42653610
Ethiopia,1999,43745398
Ethiopia,2004,31915058
Ethiopia,2010,34358197
Ethiopia,2015,34745568
Ethiopia,2021,47189607
Ethiopia (rural),1981,24656125
Europe and Central Asia (PIP),1990,33015473
Europe and Central Asia (PIP),1991,37245120
Europe and Central Asia (PIP),1992,45038450
Europe and Central Asia (PIP),1993,49839700
Europe and Central Asia (PIP),1994,62880193
Europe and Central Asia (PIP),1995,60748726
Europe and Central Asia (PIP),1996,62455931
Europe and Central Asia (PIP),1997,56974768
Europe and Central Asia (PIP),1998,58602769
Europe and Central Asia (PIP),1999,73835259
Europe and Central Asia (PIP),2000,64465130
Europe and Central Asia (PIP),2001,58383699
Europe and Central Asia (PIP),2002,51838976
Europe and Central Asia (PIP),2003,50304307
Europe and Central Asia (PIP),2004,43196197
Europe and Central Asia (PIP),2005,42689612
Europe and Central Asia (PIP),2006,37570060
Europe and Central Asia (PIP),2007,34431413
Europe and Central Asia (PIP),2008,31750361
Europe and Central Asia (PIP),2009,31565052
Europe and Central Asia (PIP),2010,31739843
Europe and Central Asia (PIP),2011,30446072
Europe and Central Asia (PIP),2012,30554289
Europe and Central Asia (PIP),2013,7725998
Europe and Central Asia (PIP),2014,8898964
Europe and Central Asia (PIP),2015,8410451
Europe and Central Asia (PIP),2016,6656608
Europe and Central Asia (PIP),2017,7046979
Europe and Central Asia (PIP),2018,5452489
Europe and Central Asia (PIP),2019,5238851
Europe and Central Asia (PIP),2020,5688309
Europe and Central Asia (PIP),2021,5399766
Europe and Central Asia (PIP),2022,5270586
Europe and Central Asia (PIP),2023,4754254
Europe and Central Asia (PIP),2024,4505232
Europe and Central Asia (PIP),2025,4292557
Fiji,2002,46272
Fiji,2008,34289
Fiji,2013,14226
Fiji,2019,42571
Finland,1987,0
Finland,1991,0
Finland,1995,0
Finland,2000,0
Finland,2003,2569
Finland,2004,2385
Finland,2005,4023
Finland,2006,4836
Finland,2007,3371
Finland,2008,4294
Finland,2009,2801
Finland,2010,3706
Finland,2011,2876
Finland,2012,2855
Finland,2013,4661
Finland,2014,3743
Finland,2015,4081
Finland,2016,2596
Finland,2017,4200
Finland,2018,4250
Finland,2019,2269
Finland,2020,1664
Finland,2021,1183
Finland,2022,5888
France,1970,0
France,1975,264056
France,1979,136461
France,1984,281466
France,1990,144223
France,1996,148573
France,1997,147580
France,1998,0
France,1999,0
France,2000,0
France,2001,0
France,2002,0
France,2003,107369
France,2004,45005
France,2005,33422
France,2006,18627
France,2007,11692
France,2008,6239
France,2009,69840
France,2010,58507
France,2011,23628
France,2012,40020
France,2013,54533
France,2014,19351
France,2015,96618
France,2016,43176
France,2017,12369
France,2018,14216
France,2019,34667
France,2020,77671
France,2021,47874
France,2022,37338
Gabon,2005,134279
Gabon,2017,82188
Gambia,1998,1074132
Gambia,2003,877398
Gambia,2010,660977
Gambia,2015,383430
Gambia,2020,554570
Georgia,1996,548347
Georgia,1997,1228700
Georgia,1998,1137298
Georgia,1999,1359863
Georgia,2000,1428388
Georgia,2001,1474271
Georgia,2002,887124
Georgia,2003,880641
Georgia,2004,822317
Georgia,2005,871274
Georgia,2006,872173
Georgia,2007,922374
Georgia,2008,833655
Georgia,2009,806706
Georgia,2010,894336
Georgia,2011,812312
Georgia,2012,700363
Georgia,2013,553543
Georgia,2014,447651
Georgia,2015,395008
Georgia,2016,390318
Georgia,2017,412517
Georgia,2018,409589
Georgia,2019,360956
Georgia,2020,445845
Georgia,2021,400160
Georgia,2022,287098
Georgia,2023,216490
Germany,1991,0
Germany,1992,188732
Germany,1993,0
Germany,1994,160978
Germany,1995,201285
Germany,1996,0
Germany,1997,0
Germany,1998,0
Germany,1999,0
Germany,2000,0
Germany,2001,0
Germany,2002,0
Germany,2003,189191
Germany,2004,0
Germany,2005,0
Germany,2006,0
Germany,2007,0
Germany,2008,0
Germany,2009,0
Germany,2010,0
Germany,2011,0
Germany,2012,0
Germany,2013,0
Germany,2014,0
Germany,2015,0
Germany,2016,0
Germany,2017,202061
Germany,2018,0
Germany,2019,207383
Germany,2020,202743
Ghana,1987,11312688
Ghana,1988,11477472
Ghana,1991,12920314
Ghana,1998,12266690
Ghana,2005,13909978
Ghana,2012,11383525
Ghana,2016,11647424
Greece,1995,210528
Greece,2000,53284
Greece,2003,61112
Greece,2004,99940
Greece,2005,49119
Greece,2006,71988
Greece,2007,68212
Greece,2008,40439
Greece,2009,70941
Greece,2010,118630
Greece,2011,163314
Greece,2012,236313
Greece,2013,167141
Greece,2014,214333
Greece,2015,214429
Greece,2016,150002
Greece,2017,115262
Greece,2018,17159
Greece,2019,104288
Greece,2020,117292
Greece,2021,74135
Greece,2022,65122
Grenada,2018,889
Guatemala,1986,3877987
Guatemala,1989,3082674
Guatemala,1998,1491532
Guatemala,2000,1028960
Guatemala,2006,1405664
Guatemala,2014,1248444
Guatemala,2023,1751031
Guinea,1991,5784141
Guinea,1994,2757754
Guinea,2002,4386188
Guinea,2007,4253908
Guinea,2012,2321876
Guinea,2018,1499361
Guinea-Bissau,1991,505575
Guinea-Bissau,1993,559184
Guinea-Bissau,2002,879644
Guinea-Bissau,2010,1185823
Guinea-Bissau,2018,720291
Guinea-Bissau,2021,834635
Guyana,1992,250079
Guyana,1998,99350
Haiti,2001,6351083
Haiti,2012,6555164
Honduras,1989,2395935
Honduras,1990,2573568
Honduras,1991,2114556
Honduras,1992,1923465
Honduras,1993,1697193
Honduras,1994,1837731
Honduras,1995,1975686
Honduras,1996,2252818
Honduras,1997,1670793
Honduras,1998,2014095
Honduras,1999,2055925
Honduras,2001,1793721
Honduras,2002,2009133
Honduras,2003,2420565
Honduras,2004,2430115
Honduras,2005,2343703
Honduras,2006,2090827
Honduras,2007,1724741
Honduras,2008,1673017
Honduras,2009,1479261
Honduras,2010,1636235
Honduras,2011,1715295
Honduras,2012,2088874
Honduras,2013,1848388
Honduras,2014,1866549
Honduras,2015,1841331
Honduras,2016,1867608
Honduras,2017,1853143
Honduras,2018,1938028
Honduras,2019,1867318
Honduras,2023,1811889
Honduras (urban),1986,1013659
Hungary,1987,0
Hungary,1989,0
Hungary,1991,232373
Hungary,1993,0
Hungary,1994,197886
Hungary,1999,73800
Hungary,2004,26598
Hungary,2005,102916
Hungary,2006,20137
Hungary,2007,24666
Hungary,2008,9008
Hungary,2009,11299
Hungary,2010,16688
Hungary,2011,17019
Hungary,2012,47204
Hungary,2013,45597
Hungary,2014,96830
Hungary,2015,95382
Hungary,2016,154402
Hungary,2017,89849
Hungary,2018,34450
Hungary,2019,50244
Hungary,2020,57599
Hungary,2021,66198
Hungary,2022,144754
Iceland,2003,109
Iceland,2004,497
Iceland,2005,110
Iceland,2006,560
Iceland,2007,251
Iceland,2008,193
Iceland,2009,310
Iceland,2010,475
Iceland,2011,601
Iceland,2012,108
Iceland,2013,286
Iceland,2014,0
Iceland,2015,114
Iceland,2016,0
Iceland,2017,0
Iceland,2018,946
India,1977,387017392
India,1983,375080304
India,1987,423633541
India,1993,442367724
India,2004,531711732
India,2009,426836613
India,2011,344469931
India,2022,75243301
Indonesia,1984,140798216
Indonesia,1987,150620220
Indonesia,1990,144204669
Indonesia,1993,150783602
Indonesia,1996,138475776
Indonesia,1998,173804253
